"Taxon";"I";"II";"II.III";"III";"IV";"V";"VI";"VII";"VIII";"IX";"Ordre"
"181";"Microtus_socialis";0;0;0;0;0.5;0;0;0.5;0;0;"RODENTIA"
"182";"Microtus_subterraneus";0;0;0;0;0;0;0.333;0;0.333;0.333;"RODENTIA"
"183";"Microtus_thomasi";0;0;0;0;0.5;0;0.5;0;0;0;"RODENTIA"
"184";"Mus_caroli";0;1;0;0;0;0;0;0;0;0;"RODENTIA"
"185";"Mus_macedonicus";0;0;0;0;0.5;0;0.5;0;0;0;"RODENTIA"
"186";"Mus_musculus";0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0;"RODENTIA"
"187";"Mus_pahari";0.5;0.5;0;0;0;0;0;0;0;0;"RODENTIA"
"188";"Mus_spretus";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"189";"Muscardinus_avellanarius";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"190";"Myodes_centralis";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"191";"Myodes_glareolus";0;0;0;0;0;0;0.333;0;0.333;0.333;"RODENTIA"
"192";"Myodes_regulus";0;0;0;0;0;0;1;0;0;0;"RODENTIA"
"193";"Myodes_rufocanus";0;0;0;0;0;0;0;0;1;0;"RODENTIA"
"194";"Myodes_rutilus";0;0;0;0;0;0;0;0;0.5;0.5;"RODENTIA"
"195";"Myodes_smithii";0;0;0;0;0;0.5;0.5;0;0;0;"RODENTIA"
"196";"Myopus_schisticolor";0;0;0;0;0;0;0;0;1;0;"RODENTIA"
"197";"Myospalax_psilurus";0;0;0;0;0;0;0.25;0.25;0.25;0.25;"RODENTIA"
"198";"Nannospalax_ehrenbergi";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"199";"Nesokia_indica";0;0;0.25;0.25;0.25;0;0;0.25;0;0;"RODENTIA"
"200";"Niviventer_confucianus";0;0.333;0;0;0;0.333;0.333;0;0;0;"RODENTIA"
"201";"Niviventer_fulvescens";0.333;0.333;0;0;0;0.333;0;0;0;0;"RODENTIA"
"202";"Pachyuromys_duprasi";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"203";"Petaurista_alborufus";0;0;0;0;0;1;0;0;0;0;"RODENTIA"
"204";"Petaurista_elegans";1;0;0;0;0;0;0;0;0;0;"RODENTIA"
"205";"Petaurista_leucogenys";0.333;0;0;0;0;0.333;0.333;0;0;0;"RODENTIA"
"206";"Petaurista_petaurista";0.2;0.2;0;0;0;0.2;0.2;0;0.2;0;"RODENTIA"
"207";"Petaurista_philippensis";0.333;0.333;0;0;0;0.333;0;0;0;0;"RODENTIA"
"208";"Phaiomys_leucurus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"209";"Phodopus_campbelli";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"210";"Phodopus_roborovskii";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"211";"Psammomys_obesus";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"212";"Pteromys_momonga";0;0;0;0;0;0.5;0.5;0;0;0;"RODENTIA"
"213";"Pteromys_volans";0;0;0;0;0;0;0;0;1;0;"RODENTIA"
"214";"Pygeretmus_platyurus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"215";"Pygeretmus_pumilio";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"216";"Pygeretmus_shitkovi";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"217";"Rattus_andamanensis";0.333;0.333;0;0;0;0.333;0;0;0;0;"RODENTIA"
"218";"Rattus_losea";0;0.5;0;0;0;0.5;0;0;0;0;"RODENTIA"
"219";"Rattus_nitidus";0;0.25;0;0;0;0.25;0.25;0;0.25;0;"RODENTIA"
"220";"Rattus_norvegicus";0;0;0;0;0.25;0.25;0.25;0;0.25;0;"RODENTIA"
"221";"Rattus_pyctoris";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"222";"Rattus_rattus";0.143;0.143;0.143;0.143;0.143;0.143;0.143;0;0;0;"RODENTIA"
"223";"Rattus_tanezumi";0.2;0.2;0;0;0;0.2;0.2;0.2;0;0;"RODENTIA"
"224";"Rhizomys_pruinosus";0.2;0.2;0;0;0;0.2;0;0.2;0.2;0;"RODENTIA"
"225";"Rhizomys_sinensis";0;0.333;0;0;0;0.333;0.333;0;0;0;"RODENTIA"
"226";"Rhombomys_opimus";0;0;0;0.333;0.333;0;0.333;0;0;0;"RODENTIA"
"227";"Salpingotus_crassicauda";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"228";"Salpingotus_kozlovi";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"229";"Salpingotus_pallidus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"230";"Sciurus_anomalus";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"231";"Sciurus_lis";0;0;0;0;0;0.333;0.333;0;0.333;0;"RODENTIA"
"232";"Sciurus_vulgaris";0;0;0;0;0.333;0;0.333;0;0.333;0;"RODENTIA"
"233";"Sicista_betulina";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"234";"Sicista_subtilis";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"235";"Sicista_tianshanica";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"236";"Spalax_giganteus";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"237";"Spermophillus_xanthoprymnus";0;0;0;0;0.333;0;0.333;0.333;0;0;"RODENTIA"
"238";"Spermophilopsis_leptodactylus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"239";"Spermophilus_dauricus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"240";"Spermophilus_erythrogenys";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"241";"Spermophilus_fulvus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"242";"Spermophilus_major";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"243";"Urocitellus_parryii";0;0;0;0;0;0;0;0;0.5;0.5;"RODENTIA"
"244";"Spermophilus_pygmaeus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"245";"Spermophilus_relictus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"246";"Urocitellus_undulatus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"247";"Stylodipus_andrewsi";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"248";"Stylodipus_telum";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"249";"Tamiops_maritimus";0;0.5;0;0;0;0.5;0;0;0;0;"RODENTIA"
"250";"Tatera_indica";0.2;0.2;0.2;0.2;0.2;0;0;0;0;0;"RODENTIA"
"251";"Tscherskia_triton";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"252";"Typhlomys_cinereus";0;0;0;0;0;0.25;0.25;0.25;0.25;0;"RODENTIA"
"253";"Spermophilus_citellus";0;0;0;0;0.333;0;0.333;0.333;0;0;"RODENTIA"
"254";"Microtus_lusitanicus";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"255";"Microtus_cabrerae";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"256";"Microtus_savii";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
